datetime,total_kw,lighting_kw,cooling_kw,fan_kw,plug_kw,datacenter_kw,oat_f
2024-01-01 01:00,102.2,5.1,13.0,5.2,8.8,50.1,32.7
2024-01-01 02:00,106.0,5.1,13.0,6.5,8.8,50.1,32.0
2024-01-01 03:00,108.4,5.1,13.0,7.2,8.8,50.1,31.3
2024-01-01 04:00,109.7,5.1,13.0,7.2,8.8,50.1,30.9
2024-01-01 05:00,111.1,5.1,13.0,7.8,8.8,50.1,30.9
2024-01-01 06:00,111.0,5.1,13.0,7.2,8.8,50.1,30.9
2024-01-01 07:00,108.9,7.1,13.0,16.7,10.8,50.1,30.4
2024-01-01 08:00,198.6,24.4,13.0,21.4,21.3,50.1,30.0
2024-01-01 09:00,203.7,37.8,13.2,21.4,32.2,50.1,30.0
2024-01-01 10:00,200.0,40.9,13.0,21.4,36.0,50.1,30.6
2024-01-01 11:00,196.8,40.9,13.0,21.4,36.0,50.1,31.6
2024-01-01 12:00,195.0,40.9,13.0,21.4,36.0,50.1,32.0
2024-01-01 13:00,192.9,40.9,14.3,21.4,36.0,50.1,32.0
2024-01-01 14:00,191.2,40.9,13.0,21.4,36.0,50.1,32.0
2024-01-01 15:00,192.4,40.9,13.0,21.4,36.0,50.1,32.0
2024-01-01 16:00,193.2,40.9,13.0,21.4,36.0,50.1,32.0
2024-01-01 17:00,194.9,40.9,13.0,21.4,36.0,50.1,31.3
2024-01-01 18:00,190.6,40.9,13.0,21.4,28.1,50.1,30.9
2024-01-01 19:00,163.5,24.9,13.0,21.4,17.6,50.1,31.6
2024-01-01 20:00,163.1,24.9,13.0,21.4,17.6,50.1,32.0
2024-01-01 21:00,155.2,19.2,13.0,12.4,17.6,50.1,32.7
2024-01-01 22:00,154.2,12.2,13.0,11.9,10.8,50.1,33.1
2024-01-01 23:00,91.1,5.1,13.0,5.8,8.8,50.1,33.1
2024-01-01 24:00,98.7,5.1,13.0,5.2,8.8,50.1,33.6
2024-01-02 01:00,100.1,5.1,13.0,5.2,8.8,50.1,34.0
2024-01-02 02:00,101.4,5.1,13.0,5.2,8.8,50.1,34.0
2024-01-02 03:00,101.3,5.1,12.9,5.2,8.8,50.1,34.7
2024-01-02 04:00,101.2,5.1,13.0,5.2,8.8,50.1,35.1
2024-01-02 05:00,101.7,5.1,13.0,5.2,8.8,50.1,35.1
2024-01-02 06:00,105.1,5.1,13.0,7.8,8.8,50.1,35.1
2024-01-02 07:00,107.1,7.1,13.0,16.7,10.8,50.1,35.1
2024-01-02 08:00,191.6,24.4,13.7,21.4,21.3,50.1,35.6
2024-01-02 09:00,195.9,37.8,14.1,21.4,32.2,50.1,36.6
2024-01-02 10:00,191.0,40.9,13.0,21.4,36.0,50.1,37.6
2024-01-02 11:00,187.0,40.9,13.0,21.4,36.0,50.1,39.2
2024-01-02 12:00,180.1,40.9,13.0,21.4,36.0,50.1,42.8
2024-01-02 13:00,176.1,40.9,16.7,21.4,36.0,50.1,46.1
2024-01-02 14:00,170.5,40.9,13.9,21.4,36.0,50.1,47.6
2024-01-02 15:00,170.4,40.9,14.1,21.4,36.0,50.1,48.6
2024-01-02 16:00,170.0,40.9,14.2,21.4,36.0,50.1,49.6
2024-01-02 17:00,171.3,40.9,14.1,21.4,36.0,50.1,49.3
2024-01-02 18:00,165.2,40.9,13.0,21.4,28.1,50.1,49.6
2024-01-02 19:00,139.8,24.9,13.0,21.4,17.6,50.1,48.8
2024-01-02 20:00,140.8,24.9,13.0,21.4,17.6,50.1,48.0
2024-01-02 21:00,131.6,19.2,13.0,10.8,17.6,50.1,46.8
2024-01-02 22:00,129.2,12.2,13.0,11.9,10.8,50.1,46.0
2024-01-02 23:00,84.3,5.1,13.0,7.2,8.8,50.1,47.8
2024-01-02 24:00,82.2,5.1,13.0,5.2,8.8,50.1,48.9
2024-01-03 01:00,82.2,5.1,13.0,5.2,8.8,50.1,49.6
2024-01-03 02:00,82.2,5.1,13.0,5.2,8.8,50.1,50.0
2024-01-03 03:00,82.5,5.1,13.0,5.2,8.8,50.1,50.0
2024-01-03 04:00,83.2,5.1,13.0,5.2,8.8,50.1,49.3
2024-01-03 05:00,83.6,5.1,13.0,5.2,8.8,50.1,48.9
2024-01-03 06:00,83.8,5.1,13.0,5.2,8.8,50.1,48.9
2024-01-03 07:00,101.9,7.1,15.1,16.7,10.8,50.1,48.9
2024-01-03 08:00,174.1,24.4,16.4,21.4,21.3,50.1,48.9
2024-01-03 09:00,179.0,37.8,16.6,21.4,32.2,50.1,50.3
2024-01-03 10:00,172.5,40.9,14.4,21.4,36.0,50.1,51.6
2024-01-03 11:00,169.7,40.9,14.7,21.4,36.0,50.1,52.7
2024-01-03 12:00,166.9,40.9,15.1,21.4,36.0,50.1,54.3
2024-01-03 13:00,167.2,40.9,18.8,21.4,36.0,50.1,56.3
2024-01-03 14:00,163.9,40.9,15.5,21.4,36.0,50.1,57.0
2024-01-03 15:00,164.1,40.9,15.7,21.4,36.0,50.1,57.6
2024-01-03 16:00,164.3,40.9,15.9,21.4,36.0,50.1,59.3
2024-01-03 17:00,164.5,40.9,16.1,21.4,36.0,50.1,61.3
2024-01-03 18:00,155.1,40.9,14.6,21.4,28.1,50.1,61.4
2024-01-03 19:00,128.1,24.9,14.1,21.4,17.6,50.1,59.7
2024-01-03 20:00,127.9,24.9,13.9,21.4,17.6,50.1,57.8
2024-01-03 21:00,115.2,19.2,13.1,9.9,17.6,50.1,57.0
2024-01-03 22:00,110.0,12.2,13.1,9.9,10.8,50.1,57.6
2024-01-03 23:00,82.3,5.1,13.1,5.2,8.8,50.1,57.4
2024-01-03 24:00,82.3,5.1,13.1,5.2,8.8,50.1,57.6
2024-01-04 01:00,82.3,5.1,13.1,5.2,8.8,50.1,56.7
2024-01-04 02:00,82.3,5.1,13.1,5.2,8.8,50.1,52.9
2024-01-04 03:00,82.3,5.1,13.1,5.2,8.8,50.1,51.6
2024-01-04 04:00,82.3,5.1,13.1,5.2,8.8,50.1,52.0
2024-01-04 05:00,82.3,5.1,13.1,5.2,8.8,50.1,53.2
2024-01-04 06:00,82.3,5.1,13.1,5.2,8.8,50.1,52.7
2024-01-04 07:00,102.7,7.1,16.5,16.7,10.8,50.1,52.7
2024-01-04 08:00,166.2,24.4,17.5,21.4,21.3,50.1,53.1
2024-01-04 09:00,172.5,37.8,17.7,21.4,32.2,50.1,54.3
2024-01-04 10:00,164.8,40.9,16.0,21.4,36.0,50.1,58.8
2024-01-04 11:00,165.6,40.9,17.2,21.4,36.0,50.1,64.7
2024-01-04 12:00,173.5,40.9,25.1,21.4,36.0,50.1,68.3
2024-01-04 13:00,185.2,40.9,36.9,21.4,36.0,50.1,69.6
2024-01-04 14:00,186.8,40.9,38.5,21.4,36.0,50.1,71.2
2024-01-04 15:00,190.1,40.9,41.7,21.4,36.0,50.1,72.6
2024-01-04 16:00,188.0,40.9,39.7,21.4,36.0,50.1,71.8
2024-01-04 17:00,175.7,40.9,27.3,21.4,36.0,50.1,68.5
2024-01-04 18:00,156.7,40.9,16.3,21.4,28.1,50.1,65.1
