month,days,avg_oat_f,total_kwh,total_therms,lighting_kwh,cooling_kwh,fan_kwh,plug_kwh,datacenter_kwh,heating_therms,dhw_therms
1,31,33.0,108662,1139,14904,10061,11002,14140,37274,889,250
2,28,34.9,93429,779,13225,9114,9442,12598,33667,545,234
3,31,45.9,93584,482,14293,11136,9997,13692,37274,338,145
4,30,54.4,89039,343,14345,12492,9829,13626,36072,240,103
5,31,64.7,95784,270,14904,18641,10233,14140,37274,54,216
6,30,72.5,95115,223,13734,22395,9676,13178,36072,45,179
7,31,76.1,104702,237,14904,28107,10270,14140,37274,47,190
8,31,73.4,100216,237,14682,24007,10242,13970,37274,47,189
9,30,68.2,92868,236,13956,19542,9693,13347,36072,47,189
10,31,53.5,92756,366,14904,13037,10174,14140,37274,256,110
11,30,46.1,90863,488,14123,10245,9838,13456,36072,342,146
12,31,33.8,105610,1001,14515,9915,10581,13861,37274,751,250
