datetime,total_kw,lighting_kw,cooling_kw,fan_kw,plug_kw,datacenter_kw,oat_f
2025-01-01 01:00,100.4,4.3,13.1,5.1,8.8,50.1,32.7
2025-01-01 02:00,102.7,4.3,13.1,5.1,8.8,50.1,32.0
2025-01-01 03:00,104.6,4.3,13.1,5.5,8.8,50.1,31.3
2025-01-01 04:00,106.6,4.3,13.1,6.1,8.8,50.1,30.9
2025-01-01 05:00,107.5,4.3,13.1,6.5,8.8,50.1,30.9
2025-01-01 06:00,107.7,4.3,13.1,6.1,8.8,50.1,30.9
2025-01-01 07:00,101.9,6.3,13.1,10.9,10.8,50.1,30.4
2025-01-01 08:00,183.6,16.2,13.1,13.3,21.3,50.1,30.0
2025-01-01 09:00,183.4,22.9,13.1,13.3,32.2,50.1,30.0
2025-01-01 10:00,179.2,24.5,13.1,13.3,36.0,50.1,30.6
2025-01-01 11:00,176.1,24.5,13.1,13.3,36.0,50.1,31.6
2025-01-01 12:00,174.4,24.5,13.1,13.3,36.0,50.1,32.0
2025-01-01 13:00,171.7,24.5,13.8,13.3,36.0,50.1,32.0
2025-01-01 14:00,170.7,24.5,13.1,13.3,36.0,50.1,32.0
2025-01-01 15:00,171.9,24.5,13.1,13.3,36.0,50.1,32.0
2025-01-01 16:00,172.7,24.5,13.1,13.3,36.0,50.1,32.0
2025-01-01 17:00,174.5,24.5,13.1,13.3,36.0,50.1,31.3
2025-01-01 18:00,170.3,24.5,13.1,13.3,28.1,50.1,30.9
2025-01-01 19:00,151.1,16.5,13.1,13.3,17.6,50.1,31.6
2025-01-01 20:00,150.7,16.5,13.1,13.3,17.6,50.1,32.0
2025-01-01 21:00,150.2,13.6,13.1,8.8,17.6,50.1,32.7
2025-01-01 22:00,151.1,10.1,13.1,8.5,10.8,50.1,33.1
2025-01-01 23:00,89.4,4.3,13.1,5.5,8.8,50.1,33.1
2025-01-01 24:00,97.2,4.3,13.1,5.1,8.8,50.1,33.6
2025-01-02 01:00,98.2,4.3,13.1,5.1,8.8,50.1,34.0
2025-01-02 02:00,99.4,4.3,13.1,5.1,8.8,50.1,34.0
2025-01-02 03:00,99.3,4.3,13.1,5.1,8.8,50.1,34.7
2025-01-02 04:00,99.1,4.3,13.1,5.1,8.8,50.1,35.1
2025-01-02 05:00,99.5,4.3,13.1,5.1,8.8,50.1,35.1
2025-01-02 06:00,100.2,4.3,13.1,5.1,8.8,50.1,35.1
2025-01-02 07:00,100.2,6.3,13.1,10.9,10.8,50.1,35.1
2025-01-02 08:00,176.3,16.2,13.4,13.3,21.3,50.1,35.6
2025-01-02 09:00,175.3,22.9,13.7,13.3,32.2,50.1,36.6
2025-01-02 10:00,170.2,24.5,13.1,13.3,36.0,50.1,37.6
2025-01-02 11:00,166.4,24.5,13.1,13.3,36.0,50.1,39.2
2025-01-02 12:00,159.5,24.5,13.1,13.3,36.0,50.1,42.8
2025-01-02 13:00,154.0,24.5,15.3,13.3,36.0,50.1,46.1
2025-01-02 14:00,149.5,24.5,13.6,13.3,36.0,50.1,47.6
2025-01-02 15:00,149.4,24.5,13.7,13.3,36.0,50.1,48.6
2025-01-02 16:00,149.0,24.5,13.7,13.3,36.0,50.1,49.6
2025-01-02 17:00,150.4,24.5,13.7,13.3,36.0,50.1,49.3
2025-01-02 18:00,145.0,24.5,13.1,13.3,28.1,50.1,49.6
2025-01-02 19:00,127.5,16.5,13.1,13.3,17.6,50.1,48.8
2025-01-02 20:00,128.6,16.5,13.1,13.3,17.6,50.1,48.0
2025-01-02 21:00,127.5,13.6,13.1,8.0,17.6,50.1,46.8
2025-01-02 22:00,126.9,10.1,13.1,8.5,10.8,50.1,46.0
2025-01-02 23:00,82.5,4.3,13.1,6.1,8.8,50.1,47.8
2025-01-02 24:00,81.5,4.3,13.1,5.1,8.8,50.1,48.9
2025-01-03 01:00,81.5,4.3,13.1,5.1,8.8,50.1,49.6
2025-01-03 02:00,81.5,4.3,13.1,5.1,8.8,50.1,50.0
2025-01-03 03:00,81.6,4.3,13.1,5.1,8.8,50.1,50.0
2025-01-03 04:00,82.2,4.3,13.1,5.1,8.8,50.1,49.3
2025-01-03 05:00,82.7,4.3,13.1,5.1,8.8,50.1,48.9
2025-01-03 06:00,82.9,4.3,13.1,5.1,8.8,50.1,48.9
2025-01-03 07:00,94.4,6.3,14.4,10.9,10.8,50.1,48.9
2025-01-03 08:00,158.5,16.2,15.1,13.3,21.3,50.1,48.9
2025-01-03 09:00,157.7,22.9,15.3,13.3,32.2,50.1,50.3
2025-01-03 10:00,151.3,24.5,13.8,13.3,36.0,50.1,51.6
2025-01-03 11:00,148.5,24.5,14.0,13.3,36.0,50.1,52.7
2025-01-03 12:00,145.6,24.5,14.3,13.3,36.0,50.1,54.3
2025-01-03 13:00,142.4,24.5,16.7,13.3,36.0,50.1,56.3
2025-01-03 14:00,139.1,24.5,14.6,13.3,36.0,50.1,57.0
2025-01-03 15:00,139.3,24.5,14.7,13.3,36.0,50.1,57.6
2025-01-03 16:00,138.6,24.5,14.8,13.3,36.0,50.1,59.3
2025-01-03 17:00,138.7,24.5,14.9,13.3,36.0,50.1,61.3
2025-01-03 18:00,130.1,24.5,14.0,13.3,28.1,50.1,61.4
2025-01-03 19:00,113.6,16.5,13.6,13.3,17.6,50.1,59.7
2025-01-03 20:00,115.7,16.5,13.5,13.3,17.6,50.1,57.8
2025-01-03 21:00,112.0,13.6,13.2,7.5,17.6,50.1,57.0
2025-01-03 22:00,109.1,10.1,13.2,7.5,10.8,50.1,57.6
2025-01-03 23:00,81.5,4.3,13.2,5.1,8.8,50.1,57.4
2025-01-03 24:00,81.5,4.3,13.2,5.1,8.8,50.1,57.6
2025-01-04 01:00,81.5,4.3,13.2,5.1,8.8,50.1,56.7
2025-01-04 02:00,81.5,4.3,13.2,5.1,8.8,50.1,52.9
2025-01-04 03:00,81.5,4.3,13.2,5.1,8.8,50.1,51.6
2025-01-04 04:00,81.5,4.3,13.2,5.1,8.8,50.1,52.0
2025-01-04 05:00,81.5,4.3,13.2,5.1,8.8,50.1,53.2
2025-01-04 06:00,81.5,4.3,13.2,5.1,8.8,50.1,52.7
2025-01-04 07:00,94.9,6.3,15.2,10.9,10.8,50.1,52.7
2025-01-04 08:00,150.4,16.2,15.8,13.3,21.3,50.1,53.1
2025-01-04 09:00,151.1,22.9,15.9,13.3,32.2,50.1,54.3
2025-01-04 10:00,140.9,24.5,14.8,13.3,36.0,50.1,58.8
2025-01-04 11:00,139.4,24.5,15.6,13.3,36.0,50.1,64.7
2025-01-04 12:00,143.0,24.5,19.2,13.3,36.0,50.1,68.3
2025-01-04 13:00,149.5,24.5,25.7,13.3,36.0,50.1,69.6
2025-01-04 14:00,150.6,24.5,26.8,13.3,36.0,50.1,71.2
2025-01-04 15:00,152.7,24.5,28.9,13.3,36.0,50.1,72.6
2025-01-04 16:00,151.4,24.5,27.6,13.3,36.0,50.1,71.8
2025-01-04 17:00,144.3,24.5,20.5,13.3,36.0,50.1,68.5
2025-01-04 18:00,130.9,24.5,15.0,13.3,28.1,50.1,65.1
2025-01-04 19:00,111.9,16.5,14.4,13.3,17.6,50.1,62.8
2025-01-04 20:00,111.6,16.5,14.2,13.3,17.6,50.1,61.4
2025-01-04 21:00,106.9,13.6,13.2,8.5,17.6,50.1,58.5
2025-01-04 22:00,106.3,10.1,13.2,7.8,10.8,50.1,57.6
2025-01-04 23:00,81.6,4.3,13.2,5.1,8.8,50.1,57.4
2025-01-04 24:00,81.6,4.3,13.2,5.1,8.8,50.1,55.1
2025-01-05 01:00,81.6,4.3,13.2,5.1,8.8,50.1,53.4
2025-01-05 02:00,81.6,4.3,13.2,5.1,8.8,50.1,51.1
2025-01-05 03:00,81.6,4.3,13.2,5.1,8.8,50.1,49.3
2025-01-05 04:00,81.6,4.3,13.2,5.1,8.8,50.1,52.1
2025-01-05 05:00,81.6,4.3,13.2,5.1,8.8,50.1,55.2
2025-01-05 06:00,81.6,4.3,13.2,5.1,8.8,50.1,56.6
2025-01-05 07:00,81.6,4.3,13.2,5.1,8.8,50.1,57.6
2025-01-05 08:00,120.0,7.8,13.2,13.3,10.3,50.1,59.3
2025-01-05 09:00,119.6,14.0,13.8,13.3,18.6,50.1,60.1
2025-01-05 10:00,115.8,15.5,14.4,13.3,22.3,50.1,60.6
2025-01-05 11:00,115.9,15.5,14.7,13.3,22.3,50.1,61.0
2025-01-05 12:00,116.1,15.5,15.0,13.3,22.3,50.1,62.9
2025-01-05 13:00,116.7,15.5,15.5,13.3,22.3,50.1,65.3
2025-01-05 14:00,110.2,13.8,16.0,13.3,17.1,50.1,67.3
2025-01-05 15:00,110.0,13.8,15.8,13.3,17.1,50.1,67.3
2025-01-05 16:00,109.9,13.8,15.7,13.3,17.1,50.1,66.9
2025-01-05 17:00,109.4,13.8,15.2,13.3,17.1,50.1,65.7
2025-01-05 18:00,107.5,12.6,14.4,13.3,17.1,50.1,60.6
2025-01-05 19:00,103.6,12.6,13.2,7.5,17.1,50.1,57.4
2025-01-05 20:00,107.1,12.6,13.2,7.5,17.1,50.1,55.8
2025-01-05 21:00,110.3,12.6,13.2,7.5,17.1,50.1,56.3
2025-01-05 22:00,106.3,9.1,13.2,7.5,10.3,50.1,57.0
2025-01-05 23:00,81.6,4.3,13.2,5.1,8.8,50.1,55.8
2025-01-05 24:00,81.6,4.3,13.2,5.1,8.8,50.1,53.1
2025-01-06 01:00,81.6,4.3,13.2,5.1,8.8,50.1,52.0
2025-01-06 02:00,81.5,4.3,13.2,5.1,8.8,50.1,49.5
2025-01-06 03:00,81.5,4.3,13.2,5.1,8.8,50.1,48.6
2025-01-06 04:00,81.5,4.3,13.2,5.1,8.8,50.1,48.4
2025-01-06 05:00,82.1,4.3,13.2,5.1,8.8,50.1,46.1
2025-01-06 06:00,83.2,4.3,13.2,5.1,8.8,50.1,45.0
2025-01-06 07:00,85.5,4.3,13.2,5.1,8.8,50.1,40.6
2025-01-06 08:00,84.7,4.3,13.2,5.1,8.8,50.1,43.0
2025-01-06 09:00,81.5,4.3,13.2,5.1,8.8,50.1,47.3
2025-01-06 10:00,81.5,4.3,13.2,5.1,8.8,50.1,48.6
2025-01-06 11:00,81.5,4.3,13.2,5.1,8.8,50.1,50.8
2025-01-06 12:00,102.5,4.3,13.2,7.5,8.8,50.1,52.7
2025-01-06 13:00,98.1,7.6,13.2,7.5,11.8,50.1,54.3
2025-01-06 14:00,94.7,9.2,13.2,7.5,14.1,50.1,55.6
2025-01-06 15:00,94.0,9.2,13.2,7.5,14.1,50.1,55.9
2025-01-06 16:00,94.0,9.2,13.2,7.5,14.1,50.1,55.4
2025-01-06 17:00,101.0,9.2,13.2,7.5,14.1,50.1,53.1
2025-01-06 18:00,109.6,5.6,13.2,7.5,8.8,50.1,48.8
2025-01-06 19:00,81.5,4.3,13.2,5.1,8.8,50.1,45.7
2025-01-06 20:00,81.5,4.3,13.2,5.1,8.8,50.1,44.4
2025-01-06 21:00,81.5,4.3,13.2,5.1,8.8,50.1,41.5
2025-01-06 22:00,81.8,4.3,13.2,5.1,8.8,50.1,40.6
2025-01-06 23:00,83.9,4.3,13.1,5.1,8.8,50.1,38.5
2025-01-06 24:00,85.8,4.3,13.1,5.1,8.8,50.1,37.6
2025-01-07 01:00,88.8,4.3,13.1,5.1,8.8,50.1,36.7
2025-01-07 02:00,90.5,4.3,13.1,5.1,8.8,50.1,36.6
2025-01-07 03:00,90.6,4.3,13.1,5.1,8.8,50.1,37.6
2025-01-07 04:00,92.1,4.3,13.1,5.1,8.8,50.1,37.4
2025-01-07 05:00,93.9,4.3,13.1,5.1,8.8,50.1,36.4
2025-01-07 06:00,96.1,4.3,13.2,5.1,8.8,50.1,35.4
2025-01-07 07:00,98.6,6.3,13.2,10.9,10.8,50.1,35.1
2025-01-07 08:00,176.0,16.2,13.7,13.3,21.3,50.1,33.8
2025-01-07 09:00,176.0,22.9,13.9,13.3,32.2,50.1,33.1
2025-01-07 10:00,165.5,24.5,13.2,13.3,36.0,50.1,33.6
2025-01-07 11:00,162.1,24.5,13.4,13.3,36.0,50.1,35.2
2025-01-07 12:00,159.8,24.5,13.7,13.3,36.0,50.1,37.2
2025-01-07 13:00,156.1,24.5,15.8,13.3,36.0,50.1,39.2
2025-01-07 14:00,150.7,24.5,14.1,13.3,36.0,50.1,39.9
2025-01-07 15:00,150.1,24.5,14.1,13.3,36.0,50.1,39.9
2025-01-07 16:00,151.6,24.5,14.0,13.3,36.0,50.1,38.7
2025-01-07 17:00,157.5,24.5,13.6,13.3,36.0,50.1,36.7
2025-01-07 18:00,157.9,24.5,13.1,13.3,28.1,50.1,35.4
2025-01-07 19:00,142.8,16.5,13.1,13.3,17.6,50.1,33.8
2025-01-07 20:00,144.8,16.5,13.1,13.3,17.6,50.1,33.1
2025-01-07 21:00,147.6,13.6,13.1,8.8,17.6,50.1,31.7
2025-01-07 22:00,148.2,10.1,13.1,8.5,10.8,50.1,30.9
2025-01-07 23:00,88.8,4.3,13.1,5.5,8.8,50.1,30.4
2025-01-07 24:00,99.0,4.3,13.1,5.1,8.8,50.1,28.8
2025-01-08 01:00,102.4,4.3,13.1,5.1,8.8,50.1,28.0
2025-01-08 02:00,106.6,4.3,13.1,5.1,8.8,50.1,26.8
2025-01-08 03:00,111.1,4.3,13.1,5.8,8.8,50.1,25.4
2025-01-08 04:00,113.8,4.3,13.1,6.1,8.8,50.1,24.4
2025-01-08 05:00,116.0,4.3,13.1,6.1,8.8,50.1,23.4
2025-01-08 06:00,118.2,4.3,13.1,6.5,8.8,50.1,23.0
2025-01-08 07:00,104.8,6.3,13.1,10.9,10.8,50.1,23.0
2025-01-08 08:00,189.4,16.2,13.1,13.3,21.3,50.1,23.0
2025-01-08 09:00,184.6,22.9,13.2,13.3,32.2,50.1,24.2
2025-01-08 10:00,173.8,24.5,13.1,13.3,36.0,50.1,26.9
2025-01-08 11:00,168.7,24.5,13.1,13.3,36.0,50.1,28.6
2025-01-08 12:00,165.2,24.5,13.4,13.3,36.0,50.1,30.9
2025-01-08 13:00,160.2,24.5,15.6,13.3,36.0,50.1,33.2
2025-01-08 14:00,154.8,24.5,13.9,13.3,36.0,50.1,35.2
2025-01-08 15:00,158.5,24.5,13.5,13.3,36.0,50.1,36.6
2025-01-08 16:00,160.1,24.5,13.3,13.3,36.0,50.1,37.0
2025-01-08 17:00,164.2,24.5,13.1,13.3,36.0,50.1,35.1
2025-01-08 18:00,163.7,24.5,13.1,13.3,28.1,50.1,32.1
2025-01-08 19:00,146.7,16.5,13.1,13.3,17.6,50.1,31.6
2025-01-08 20:00,147.1,16.5,13.1,13.3,17.6,50.1,32.0
2025-01-08 21:00,146.9,13.6,13.1,8.8,17.6,50.1,32.7
2025-01-08 22:00,148.2,10.1,13.1,8.5,10.8,50.1,31.7
2025-01-08 23:00,88.1,4.3,13.1,5.5,8.8,50.1,31.6
2025-01-08 24:00,95.8,4.3,13.1,5.1,8.8,50.1,31.3
2025-01-09 01:00,98.9,4.3,13.1,5.1,8.8,50.1,30.4
2025-01-09 02:00,100.3,4.3,13.1,5.1,8.8,50.1,30.6
2025-01-09 03:00,101.3,4.3,13.1,5.1,8.8,50.1,30.9
2025-01-09 04:00,100.9,4.3,13.1,5.1,8.8,50.1,31.6
2025-01-09 05:00,102.0,4.3,13.1,5.1,8.8,50.1,31.3
2025-01-09 06:00,103.0,4.3,13.1,5.1,8.8,50.1,30.9
2025-01-09 07:00,101.7,6.3,13.1,10.9,10.8,50.1,28.4
2025-01-09 08:00,188.8,16.2,13.1,13.3,21.3,50.1,27.0
2025-01-09 09:00,188.4,22.9,13.1,13.3,32.2,50.1,27.6
2025-01-09 10:00,184.6,24.5,13.1,13.3,36.0,50.1,28.0
2025-01-09 11:00,182.9,24.5,13.1,13.3,36.0,50.1,28.3
2025-01-09 12:00,181.4,24.5,13.1,13.3,36.0,50.1,28.7
2025-01-09 13:00,175.2,24.5,13.7,13.3,36.0,50.1,28.9
2025-01-09 14:00,172.8,24.5,13.1,13.3,36.0,50.1,29.6
2025-01-09 15:00,173.4,24.5,13.1,13.3,36.0,50.1,30.6
2025-01-09 16:00,173.5,24.5,13.1,13.3,36.0,50.1,30.9
2025-01-09 17:00,175.3,24.5,13.1,13.3,36.0,50.1,30.4
2025-01-09 18:00,170.9,24.5,13.1,13.3,28.1,50.1,30.0
2025-01-09 19:00,153.6,16.5,13.1,13.3,17.6,50.1,30.6
2025-01-09 20:00,152.8,16.5,13.1,13.3,17.6,50.1,30.9
2025-01-09 21:00,151.4,13.6,13.1,8.8,17.6,50.1,30.9
2025-01-09 22:00,152.8,10.1,13.1,8.5,10.8,50.1,30.9
2025-01-09 23:00,92.8,4.3,13.1,5.5,8.8,50.1,30.5
2025-01-09 24:00,100.2,4.3,13.1,5.1,8.8,50.1,30.2
2025-01-10 01:00,101.5,4.3,13.1,5.1,8.8,50.1,30.6
2025-01-10 02:00,102.2,4.3,13.1,5.1,8.8,50.1,30.9
2025-01-10 03:00,102.6,4.3,13.1,5.1,8.8,50.1,31.6
2025-01-10 04:00,102.9,4.3,13.1,5.1,8.8,50.1,32.0
2025-01-10 05:00,104.1,4.3,13.1,5.8,8.8,50.1,32.0
2025-01-10 06:00,104.9,4.3,13.1,5.8,8.8,50.1,32.0
2025-01-10 07:00,101.3,6.3,13.1,10.9,10.8,50.1,32.0
2025-01-10 08:00,179.9,16.2,13.2,13.3,21.3,50.1,32.0
2025-01-10 09:00,177.9,22.9,13.6,13.3,32.2,50.1,32.0
2025-01-10 10:00,169.8,24.5,13.1,13.3,36.0,50.1,33.2
2025-01-10 11:00,161.9,24.5,13.2,13.3,36.0,50.1,35.9
2025-01-10 12:00,159.8,24.5,13.6,13.3,36.0,50.1,37.0
2025-01-10 13:00,157.7,24.5,15.6,13.3,36.0,50.1,37.6
2025-01-10 14:00,158.1,24.5,13.4,13.3,36.0,50.1,37.4
2025-01-10 15:00,156.2,24.5,13.6,13.3,36.0,50.1,38.3
2025-01-10 16:00,154.3,24.5,13.7,13.3,36.0,50.1,39.6
2025-01-10 17:00,158.0,24.5,13.4,13.3,36.0,50.1,38.1
