month,days,avg_oat_f,total_kwh,total_therms,lighting_kwh,cooling_kwh,fan_kwh,plug_kwh,datacenter_kwh,heating_therms,dhw_therms
1,31,33.0,100821,1161,9664,9957,7257,14140,37274,911,250
2,28,34.9,86657,857,8593,9007,6406,12598,33667,607,250
3,31,45.9,85854,540,9315,10566,6898,13692,37274,378,162
4,30,54.4,80327,380,9307,11171,6758,13626,36072,266,114
5,31,64.7,83786,281,9664,14872,7022,14140,37274,56,225
6,30,72.5,82013,225,8958,17024,6680,13178,36072,45,180
7,31,76.1,88744,238,9664,20615,7040,14140,37274,48,190
8,31,73.4,85883,238,9544,18007,7026,13970,37274,48,191
9,30,68.2,80749,240,9078,15206,6690,13347,36072,48,192
10,31,53.5,83597,400,9664,11632,6990,14140,37274,280,120
11,30,46.1,83585,548,9187,9938,6754,13456,36072,384,164
12,31,33.8,98222,1049,9434,9881,7092,13861,37274,799,250
