billing_start,billing_end,days,kwh,kw_demand,therms,cost_elec,cost_gas
2023-01-01,2023-01-31,31,86400,245,1920,14688,2304
2023-02-01,2023-02-28,28,77600,228,2090,13192,2508
2023-03-01,2023-03-31,31,82000,240,1650,13940,1980
2023-04-01,2023-04-30,30,89300,264,1110,15181,1332
2023-05-01,2023-05-31,31,99800,312,640,16966,768
2023-06-01,2023-06-30,30,112700,372,300,19159,360
2023-07-01,2023-07-31,31,124200,408,235,21114,282
2023-08-01,2023-08-31,31,120000,390,255,20400,306
2023-09-01,2023-09-30,30,109100,348,280,18547,336
2023-10-01,2023-10-31,31,96500,288,570,16405,684
2023-11-01,2023-11-30,30,85200,246,1310,14484,1572
2023-12-01,2023-12-31,31,83600,240,1785,14212,2142
